district,label,wkt
https://adamlink.nl/geo/district/A/1248,A,"POLYGON((4.8923162823592 52.369088540456,4.8930844206179 52.372185182055,4.8933891058695 52.372641899591,4.8940552398046 52.3725113078,4.894081197814 52.372444276611,4.8958386350394 52.371874584589,4.8954671964394 52.371576417262,4.895032477469 52.371186845396,4.8947695834579 52.370834524379,4.8942560765591 52.36925642622,4.8931481247048 52.369151994494,4.8923162823592 52.369088540456))"
https://adamlink.nl/geo/district/AA-I/1324,AA-I,"POLYGON((4.8961572534263 52.359679858174,4.8911008047787 52.360037114156,4.8910967990226 52.360554318433,4.8916223220615 52.362166664991,4.8918154854802 52.362140637691,4.8924076112996 52.363864010629,4.8959080261154 52.363373786942,4.8961319354909 52.360274711651,4.8961572534263 52.359679858174))"
https://adamlink.nl/geo/district/AA-II/1275,AA-II,"POLYGON((4.8911008047787 52.360037114156,4.8961572534263 52.359679858174,4.8963314419353 52.359674458024,4.8961281469241 52.358024055814,4.8908814104771 52.358316342307,4.8911008047787 52.360037114156))"
https://adamlink.nl/geo/district/AB/1293,AB,"POLYGON((4.88662351001 52.355349468498,4.8866423246334 52.35984261969,4.8873262342125 52.360260880705,4.8879395570465 52.359935197115,4.88837652999 52.359417356797,4.8895568872877 52.358688170089,4.8908814104771 52.358316342307,4.8961281469241 52.358024055814,4.8981763867615 52.357940553359,4.8984586950757 52.357383506832,4.8970015754709 52.356936275489,4.8956363135956 52.356498652395,4.889163652054 52.355211559771,4.88662351001 52.355349468498))"
https://adamlink.nl/geo/district/AC/1273,AC,"POLYGON((4.8816749331868 52.353717565971,4.8800567690932 52.355981525652,4.8767075431074 52.360623995542,4.8820664655068 52.362068923879,4.8826344186225 52.361938162408,4.8840762473634 52.361845283324,4.8862369118528 52.360780792545,4.8873262342125 52.360260880705,4.8866423246334 52.35984261969,4.88662351001 52.355349468498,4.8866626995643 52.354626637792,4.8867175880965 52.353614133748,4.8864541658239 52.353062491202,4.8864357779078 52.352231933327,4.8834248096978 52.352545320074,4.8825216489 52.353464735391,4.8816749331868 52.353717565971))"
https://adamlink.nl/geo/district/AD/1300,AD,"POLYGON((4.8970015754709 52.356936275489,4.8991148126379 52.35418452596,4.894527074618 52.353257818349,4.8868512034054 52.352228089026,4.8864357779078 52.352231933327,4.8864541658239 52.353062491202,4.8867175880965 52.353614133748,4.8866626995643 52.354626637792,4.88662351001 52.355349468498,4.889163652054 52.355211559771,4.8956363135956 52.356498652395,4.8970015754709 52.356936275489))"
https://adamlink.nl/geo/district/AE/1297,AE,"POLYGON((4.8981763867615 52.357940553359,4.9046070073424 52.359103576764,4.906037160442 52.356163802758,4.9047811846878 52.355951376473,4.8991148126379 52.35418452596,4.8970015754709 52.356936275489,4.8984586950757 52.357383506832,4.8981763867615 52.357940553359))"
https://adamlink.nl/geo/district/AF/1256,AF,"POLYGON((4.894527074618 52.353257818349,4.8991148126379 52.35418452596,4.9047811846878 52.355951376473,4.906037160442 52.356163802758,4.9088262430163 52.353579656227,4.9039905627459 52.352384421088,4.8989102760704 52.351671861696,4.8988161966888 52.351384536108,4.8979318504961 52.351660368709,4.8949024943709 52.35126960536,4.8947863547335 52.35285835798,4.894527074618 52.353257818349))"
https://adamlink.nl/geo/district/AG/1315,AG,"POLYGON((4.8949024943709 52.35126960536,4.8979318504961 52.351660368709,4.8988161966888 52.351384536108,4.8989102760704 52.351671861696,4.9039905627459 52.352384421088,4.9088262430163 52.353579656227,4.9100869067403 52.35241889946,4.9115921781403 52.349591586324,4.9013187095355 52.347545691155,4.8962572387423 52.347154891432,4.8960314469502 52.349373204668,4.8950906531194 52.349867426018,4.8949024943709 52.35126960536))"
https://adamlink.nl/geo/district/AH/1306,AH,"POLYGON((4.8864357779078 52.352231933327,4.8868512034054 52.352228089026,4.894527074618 52.353257818349,4.8947863547335 52.35285835798,4.8949024943709 52.35126960536,4.8950906531194 52.349867426018,4.8960314469502 52.349373204668,4.8962572387423 52.347154891432,4.8891824678699 52.346626152755,4.885551004984 52.346993972922,4.8864357779078 52.352231933327))"
