occupationalTitleDeVries,hisco
240,-1
aannemers,21240
advocaat,12110
ambachtsman,99999
ambtenaar,30000
apotheker,6710
artistiek beroep,17990
arts,6105
assuradeurs,44120
bakker,77610
"bankiers, kassiers",33160
boekhouder,33110
cargadoors,22290
comm. in effecten,44140
commissionair,42230
convooiloper,31020
directeur,21110
drogist,41030
fabrikanten,21110
factor,-1
geemployeerde,99999
gepensioneerd,-2
grondeigenaar,-1
hoogleraar,13100
houtvlotter,63140
kantoorbediende,39310
koopman,41025
kruidenier,41030
landbouwer,61220
makelaar,44100
molenaar,77120
notaris,12310
onderwijzer,13200
ov. zelfstandigen,99999
pakhuisopzichter,22290
pastoor,14120
predikant,14120
rechter,12210
reders,44190
reiziger,43220
rentenier,-2
schipper,4217
slager,77310
sleper,4217
stalhouder,61240
suikerraffinadeurs,21110
tabakskoopman,41025
tabakswinkelier,41030
timmerman,95410
"timmerman, makelaar",95410
vrij beroep,99999
werklieden,99900
wijnkoopman,41025
winkelier,41030
zonder,-2
