occupationalTitleDeVries,hisco
240,-1
aannemers,21240
advocaat,12110
agent handelsmij.,43200
ambachtsman,99999
ambtenaar,30000
apotheker,6710
artistiek beroep,17990
arts,6105
assuradeurs,44120
bakker,77610
"bankiers, kassiers",33160
boekhouder,33110
cargadoors,22290
commissionair,42230
diamantbewerking,-1
directeur,21110
drogist,41030
fabrikanten,21110
geemployeerde,99999
geestelijke,14120
hoofdarbeider,99900
hoogleraar,13100
"ingenieur, architect",2000
kantoorbediende,39310
koopman,41025
landbouwer,61220
losse arb.,99900 
makelaar,44100
notaris,12310
onderwijzer,13200
opzichter,22000
ov. zelfstandigen,99999
overigen,-1
pastoor,14120
predikant,14120
rechter,12210
reders,44190
schipper,4217
slager,77310
stalhouder,61240
suikerraffinadeurs,21110
timmerman,95410
"timmerman, makelaar",95410
venter,45220
vrij beroep,99999
winkelier,41030
zonder,-2
