volgnr1z,buurtz,gebplmz,gebjrmz,relimz,bsmz,bersmz,berpmz,gebjrvz,gebplvaz,relivz,nrkindz,nrbodez,nrhgz,relhfdz,grondblz,pblz,patblz,totblz,jrhu1z,bervamz,bervavz,bermhuz,bervhuz,bergt1z,relgt1z,bergt2z,relgt2z,bergt3z,relgt3z,bergt4z,relgt4z,hugeldz,hulftaz,volgnr2z,hulftbz,bsvz,gebplvbz,vamasdz,pblvamz,vavasdz,pblvavz
200051,33,steden Nederland,1823,Nederlands Hervormd,gehuwd,198,winkelier,1826,steden Nederland,Nederlands Hervormd,5,1,1,ander familielid,57,218,40,315,1848,vader overleden,apotheker,koopman,zonder,zonder,broer/zwager man,ambachtsman,broer/zwager man,zonder,geen familie,kantoorbediende,oom/neef vrouw,geen of onbekend,25,200052,22,3,Amsterdam,-1,-1,-1,-1
200101,23,Amsterdam,1836,Ned. Israelitisch,gehuwd,196,koopman,1835,Amsterdam,Ned. Israelitisch,3,1,0,-1,67,114,135,315,1862,vader overleden,zonder,diamantbewerking,zonder,koopman,broer/zwager man,zonder,oom/neef man,kantoorbediende,oom/neef vrouw,koopman,geen familie,"f.4,-",25,200102,27,3,Amsterdam,buiten asd of dood,0,in Amsterdam,0
200151,8,Amsterdam,1826,Waals Hervormd,gehuwd,195,koopman,1828,Amsterdam,Rooms Katholiek,1,1,0,-1,0,132,38,171,1861,vader overleden,zonder,koopman,zonder,kantoorbediende,broer/zwager vrouw,koopman,broer/zwager vrouw,koopman,geen familie,arts,geen familie,"f.4,-",34,200152,34,3,Amsterdam,buiten asd of dood,0,in Amsterdam,50
200201,25,steden Nederland,1824,Nederlands Hervormd,gehuwd,staatsdienst,ambtenaar,1824,platteland Nederland,Nederlands Hervormd,1,2,0,-1,0,220,0,220,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200202,-1,-1,-1,-1,-1,-1,-1
200251,5,Amsterdam,1847,Nederlands Hervormd,gehuwd,207,240,1851,steden Nederland,Nederlands Hervormd,4,9,1,ander familielid,380,717,320,1417,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200252,-1,-1,-1,-1,-1,-1,-1
200301,29,Amsterdam,1820,Nederlands Hervormd,gehuwd,202,stalhouder,1850,Amsterdam,Nederlands Hervormd,3,0,0,-1,55,67,22,144,1861,vader overleden,vader overleden,timmerman,zonder,timmerman,broer/zwager man,timmerman,broer/zwager man,boekhouder,broer/zwager vrouw,winkelier,broer/zwager vrouw,"f.4,-",31,200302,22,3,Amsterdam,buiten asd of dood,0,buiten asd of dood,0
200351,42,steden Nederland,1803,Nederlands Hervormd,gehuwd,192,koopman,1835,Amsterdam,Evangelisch Luthers,3,2,0,-1,57,149,87,293,1857,onderwijzer,zonder,commissionair,zonder,commissionair,broer/zwager vrouw,koopman,broer/zwager vrouw,fabrikanten,geen familie,factor,geen familie,"f.15,-",23,200352,22,3,Amsterdam,buiten asd of dood,0,in Amsterdam,0
200401,36,Amsterdam,1848,Nederlands Hervormd,gehuwd,zonder beroep,zonder,1851,Amsterdam,Nederlands Hervormd,5,0,0,-1,121,45,0,165,1872,ambachtsman,ambachtsman,ambachtsman,zonder,ambachtsman,broer/zwager man,ambachtsman,oom/neef man,ambachtsman,broer/zwager vrouw,ambachtsman,geen familie,"f.4,-",23,200402,19,3,Amsterdam,in Amsterdam,9,in Amsterdam,0
200451,13,Amsterdam,1827,Rooms Katholiek,gehuwd,zonder beroep,zonder,1845,steden Nederland,Rooms Katholiek,0,1,0,-1,68,119,0,187,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200452,-1,-1,-1,-1,-1,-1,-1
200501,10,Amsterdam,1861,Hersteld Luthers,ongehuwd,warenhandel,koopman,-1,-1,-1,0,0,0,-1,0,0,119,119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200502,-1,-1,-1,-1,-1,-1,-1
200551,13,Amsterdam,1848,Nederlands Hervormd,gehuwd,103,ambachtsman,1855,steden Nederland,Nederlands Hervormd,1,0,1,ouder,68,160,27,255,1876,ambachtsman,onderwijzer,ambachtsman,zonder,kantoorbediende,broer/zwager vrouw,kantoorbediende,broer/zwager vrouw,koopman,oom/neef man,cargadoors,geen familie,geen of onbekend,27,200552,24,3,Amsterdam,in Amsterdam,62,in Amsterdam,27
200601,49,platteland Nederland,1844,Nederlands Hervormd,gehuwd,224,assuradeurs,1854,steden Nederland,Nederlands Hervormd,2,2,0,-1,0,101,14,116,1881,vader overleden,fabrikanten,zonder,zonder,advocaat,broer/zwager man,zonder,broer/zwager vrouw,zonder,broer/zwager vrouw,directeur,geen familie,geen of onbekend,36,200602,27,3,steden Nederland,buiten asd of dood,0,in Amsterdam,0
