rij,description,buurt
41,Kom. Buurt A,https://adamlink.nl/geo/district/buurt-a/134
42,Kom. Buurt B,https://adamlink.nl/geo/district/buurt-b/136
43,Kom. Buurt B Schepen,https://adamlink.nl/geo/district/buurt-b/136
44,Kom. Buurt C,https://adamlink.nl/geo/district/buurt-c/141
45,Kom. Buurt C Schepen,https://adamlink.nl/geo/district/buurt-c/141
46,Kom. Buurt D,https://adamlink.nl/geo/district/buurt-d/131
47,Kom. Buurt D Schip,https://adamlink.nl/geo/district/buurt-d/131
48,Kom. Buurt E,https://adamlink.nl/geo/district/buurt-e/130
49,Kom. Buurt F,https://adamlink.nl/geo/district/buurt-f/121
50,Kom. Buurt F Schepen,https://adamlink.nl/geo/district/buurt-f/121
51,Kom. Buurt G,https://adamlink.nl/geo/district/buurt-g/120
52,Kom. Buurt G Schepen,https://adamlink.nl/geo/district/buurt-g/120
53,Kom. Buurt H,https://adamlink.nl/geo/district/buurt-h/129
54,Kom. Buurt H Schepen,https://adamlink.nl/geo/district/buurt-h/129
55,Kom. Buurt I,https://adamlink.nl/geo/district/buurt-j/133
56,Kom. Buurt K,https://adamlink.nl/geo/district/buurt-k/135
57,Kom. Buurt K Schip,https://adamlink.nl/geo/district/buurt-k/135
58,Kom. Buurt L,https://adamlink.nl/geo/district/buurt-l/119
59,Kom. Buurt L Schepen,https://adamlink.nl/geo/district/buurt-l/119
60,Kom. Buurt M,https://adamlink.nl/geo/district/buurt-m/132
61,Kom. Buurt M Schepen,https://adamlink.nl/geo/district/buurt-m/132
62,Kom. Buurt N,https://adamlink.nl/geo/district/buurt-n/139
63,Kom. Buurt N Schepen,https://adamlink.nl/geo/district/buurt-n/139
64,Kom. Buurt O,https://adamlink.nl/geo/district/buurt-o/140
65,Kom. Buurt O Schip,https://adamlink.nl/geo/district/buurt-o/140
66,Kom. Buurt P,https://adamlink.nl/geo/district/buurt-p/142
67,Kom. Buurt Q,https://adamlink.nl/geo/district/buurt-q/144
