rij,obs,pop,houseType,residenceStatus,kom,sex,description,buurt
100,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E100-h,586,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt OO,https://adamlink.nl/geo/district/buurt-oo/107
102,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E102-h,621,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt PP,https://adamlink.nl/geo/district/buurt-pp/106
104,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E104-h,816,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt QQ,https://adamlink.nl/geo/district/buurt-qq/101
106,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E106-h,290,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt RR,https://adamlink.nl/geo/district/buurt-rr/117
108,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E108-h,491,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt SS,https://adamlink.nl/geo/district/buurt-ss/118
110,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E110-h,475,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt TT,https://adamlink.nl/geo/district/buurt-tt/105
112,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E112-h,672,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt UU,https://adamlink.nl/geo/district/buurt-uu/102
114,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E114-h,198,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt VV,https://adamlink.nl/geo/district/buurt-vv/104
118,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E118-h,183,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BuitenKom,,Buiten de kom. Buurt WW,https://adamlink.nl/geo/district/buurt-ww/103
119,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E119-h,459,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BuitenKom,,Buiten de kom. Buurt XX,https://adamlink.nl/geo/district/buurt-xx/123
