rij,label,buurt
46,Buurt A,https://adamlink.nl/geo/district/buurt-a/134
47,Buurt B,https://adamlink.nl/geo/district/buurt-b/136
48,Buurt C,https://adamlink.nl/geo/district/buurt-c/141
49,Buurt D,https://adamlink.nl/geo/district/buurt-d/131
50,Buurt E,https://adamlink.nl/geo/district/buurt-e/130
51,Buurt F,https://adamlink.nl/geo/district/buurt-f/121
52,Buurt G,https://adamlink.nl/geo/district/buurt-g/120
53,Buurt H,https://adamlink.nl/geo/district/buurt-h/129
54,Buurt I,https://adamlink.nl/geo/district/buurt-j/133
55,Buurt K,https://adamlink.nl/geo/district/buurt-k/135
56,Buurt L,https://adamlink.nl/geo/district/buurt-l/119
57,Buurt M,https://adamlink.nl/geo/district/buurt-m/132
58,Buurt N,https://adamlink.nl/geo/district/buurt-n/139
59,Buurt O,https://adamlink.nl/geo/district/buurt-o/140
60,Buurt P,https://adamlink.nl/geo/district/buurt-p/142
61,Buurt Q,https://adamlink.nl/geo/district/buurt-q/144
62,Buurt R,https://adamlink.nl/geo/district/buurt-r/146
63,Buurt S,https://adamlink.nl/geo/district/buurt-s/145
64,Buurt T,https://adamlink.nl/geo/district/buurt-t/149
65,Buurt U,https://adamlink.nl/geo/district/buurt-u/148
66,Buurt V,https://adamlink.nl/geo/district/buurt-v/147
67,Buurt W,https://adamlink.nl/geo/district/buurt-w/143
68,Buurt X,https://adamlink.nl/geo/district/buurt-x/127
69,Buurt IJ,https://adamlink.nl/geo/district/buurt-y/137
70,Buurt Z,https://adamlink.nl/geo/district/buurt-z/138
71,Buurt A.A,https://adamlink.nl/geo/district/buurt-aa/128
72,Buurt B.B,https://adamlink.nl/geo/district/buurt-bb/126
73,Buurt C.C,https://adamlink.nl/geo/district/buurt-cc/125
74,Buurt D.D,https://adamlink.nl/geo/district/buurt-dd/111
75,Buurt E.E,https://adamlink.nl/geo/district/buurt-ee/110
76,Buurt F.F,https://adamlink.nl/geo/district/buurt-ff/112
77,Buurt G.G,https://adamlink.nl/geo/district/buurt-gg/113
78,Buurt H.H,https://adamlink.nl/geo/district/buurt-hh/114
79,Buurt I.I,https://adamlink.nl/geo/district/buurt-jj/122
80,Buurt K.K,https://adamlink.nl/geo/district/buurt-kk/115
81,Buurt L.L,https://adamlink.nl/geo/district/buurt-ll/116
82,Buurt M.M,https://adamlink.nl/geo/district/buurt-mm/109
83,Buurt N.N,https://adamlink.nl/geo/district/buurt-nn/108
84,Buurt O.O,https://adamlink.nl/geo/district/buurt-oo/107
85,Buurt P.P,https://adamlink.nl/geo/district/buurt-pp/106
86,Buurt Q.Q,https://adamlink.nl/geo/district/buurt-qq/101
87,Buurt R.R,https://adamlink.nl/geo/district/buurt-rr/117
88,Buurt S.S,https://adamlink.nl/geo/district/buurt-ss/118
89,Buurt T.T,https://adamlink.nl/geo/district/buurt-tt/105
90,Buurt U.U,https://adamlink.nl/geo/district/buurt-uu/102
91,Buurt V.V,https://adamlink.nl/geo/district/buurt-vv/104
92,Buurt W.W,https://adamlink.nl/geo/district/buurt-ww/103
93,Buurt X.X (waarin de Overtoom),https://adamlink.nl/geo/district/buurt-xx/123
94,Buurt IJ.IJ,https://adamlink.nl/geo/district/buurt-yy/124
95,Buurt Z.Z (waarin de Weesperzijde),https://adamlink.nl/geo/district/buurt-zz/150
96,"Schepen te Amsterdam te huis behoorende, aanwezig ",
97,afwezig (111 schepen),
