rij,obs,pop,houseType,residenceStatus,kom,sex,label,buurt
46,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K46-h,1861,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt A,https://adamlink.nl/geo/district/buurt-a/134
47,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K47-h,1296,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt B,https://adamlink.nl/geo/district/buurt-b/136
48,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K48-h,2897,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt C,https://adamlink.nl/geo/district/buurt-c/141
49,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K49-h,1359,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt D,https://adamlink.nl/geo/district/buurt-d/131
50,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K50-h,1603,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt E,https://adamlink.nl/geo/district/buurt-e/130
51,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K51-h,1202,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt F,https://adamlink.nl/geo/district/buurt-f/121
52,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K52-h,1423,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt G,https://adamlink.nl/geo/district/buurt-g/120
53,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K53-h,2342,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt H,https://adamlink.nl/geo/district/buurt-h/129
54,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K54-h,2289,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt I,https://adamlink.nl/geo/district/buurt-j/133
55,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K55-h,2397,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt K,https://adamlink.nl/geo/district/buurt-k/135
56,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K56-h,2948,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt L,https://adamlink.nl/geo/district/buurt-l/119
57,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K57-h,2092,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt M,https://adamlink.nl/geo/district/buurt-m/132
58,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K58-h,2288,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt N,https://adamlink.nl/geo/district/buurt-n/139
59,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K59-h,2528,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt O,https://adamlink.nl/geo/district/buurt-o/140
60,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K60-h,2637,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt P,https://adamlink.nl/geo/district/buurt-p/142
61,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K61-h,2039,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt Q,https://adamlink.nl/geo/district/buurt-q/144
62,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K62-h,2171,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt R,https://adamlink.nl/geo/district/buurt-r/146
63,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K63-h,1683,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt S,https://adamlink.nl/geo/district/buurt-s/145
64,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K64-h,6209,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt T,https://adamlink.nl/geo/district/buurt-t/149
65,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K65-h,4521,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt U,https://adamlink.nl/geo/district/buurt-u/148
66,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K66-h,2363,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt V,https://adamlink.nl/geo/district/buurt-v/147
67,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K67-h,4695,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt W,https://adamlink.nl/geo/district/buurt-w/143
68,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K68-h,2280,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt X,https://adamlink.nl/geo/district/buurt-x/127
69,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K69-h,1729,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt IJ,https://adamlink.nl/geo/district/buurt-y/137
70,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K70-h,3009,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt Z,https://adamlink.nl/geo/district/buurt-z/138
71,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K71-h,2892,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt A.A,https://adamlink.nl/geo/district/buurt-aa/128
72,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K72-h,2299,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt B.B,https://adamlink.nl/geo/district/buurt-bb/126
73,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K73-h,3219,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt C.C,https://adamlink.nl/geo/district/buurt-cc/125
74,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K74-h,2374,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt D.D,https://adamlink.nl/geo/district/buurt-dd/111
75,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K75-h,3342,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt E.E,https://adamlink.nl/geo/district/buurt-ee/110
76,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K76-h,2592,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt F.F,https://adamlink.nl/geo/district/buurt-ff/112
77,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K77-h,3206,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt G.G,https://adamlink.nl/geo/district/buurt-gg/113
78,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K78-h,1804,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt H.H,https://adamlink.nl/geo/district/buurt-hh/114
79,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K79-h,1755,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt I.I,https://adamlink.nl/geo/district/buurt-jj/122
80,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K80-h,1871,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt K.K,https://adamlink.nl/geo/district/buurt-kk/115
