rij,buurtLabel,buurt,nadere_omschrijving1,nadere_omschrijving2
100,Buurt R,https://adamlink.nl/geo/district/buurt-r/146,,Kom
101,Buurt S,https://adamlink.nl/geo/district/buurt-s/145,,Kom
102,Buurt T,https://adamlink.nl/geo/district/buurt-t/149,Mariniers-kazerne,Kom
103,Buurt T,https://adamlink.nl/geo/district/buurt-t/149,Overige huizen,Kom
104,Buurt U,https://adamlink.nl/geo/district/buurt-u/148,Matrozen-Instituut (Schip Ajax),Kom
105,Buurt U,https://adamlink.nl/geo/district/buurt-u/148,"Wachtschip ""Prins Maurits""",Kom
106,Buurt U,https://adamlink.nl/geo/district/buurt-u/148,"Opleidingschip ""Admiraal van Wassenaer""",Kom
107,Buurt U,https://adamlink.nl/geo/district/buurt-u/148,Ramschip Guinéa,Kom
108,Buurt U,https://adamlink.nl/geo/district/buurt-u/148,Kosthuis No. 2 der Maatschappij tot Nut van 't Algemeen,Kom
109,Buurt U,https://adamlink.nl/geo/district/buurt-u/148,Zeemanshuis,Kom
110,Buurt U,https://adamlink.nl/geo/district/buurt-u/148,Kazerne Oranje-Nassau,Kom
111,Buurt U,https://adamlink.nl/geo/district/buurt-u/148,Overige huizen,Kom
112,Buurt V,https://adamlink.nl/geo/district/buurt-v/147,Ned. Israël. Meisjesweeshuis,Kom
113,Buurt V,https://adamlink.nl/geo/district/buurt-v/147,Port. Israël. Zieken- en Oude vrouwenhuis,Kom
114,Buurt V,https://adamlink.nl/geo/district/buurt-v/147,R. C. Oude mannen- en vrouwenhuis. St. Jacob,Kom
115,Buurt V,https://adamlink.nl/geo/district/buurt-v/147,Cavallerie-Kazerne,Kom
116,Buurt V,https://adamlink.nl/geo/district/buurt-v/147,Overige huizen,Kom
117,Buurt W,https://adamlink.nl/geo/district/buurt-w/143,Corvershof,Kom
118,Buurt W,https://adamlink.nl/geo/district/buurt-w/143,Bestedelinghuis,Kom
119,Buurt W,https://adamlink.nl/geo/district/buurt-w/143,Evangelisch Luthersch weeshuis,Kom
120,Buurt W,https://adamlink.nl/geo/district/buurt-w/143,Armenhuis,Kom
121,Buurt W,https://adamlink.nl/geo/district/buurt-w/143,"Straalman-stichting, genaamd ""Magdalena Hodson""",Kom
122,Buurt W,https://adamlink.nl/geo/district/buurt-w/143,Brands Rusthofje,Kom
123,Buurt W,https://adamlink.nl/geo/district/buurt-w/143,Gebouw van Barmhartigheid,Kom
124,Buurt W,https://adamlink.nl/geo/district/buurt-w/143,Oude Vrouwen- en Mannenhuis der hervormde gemeente,Kom
125,Buurt W,https://adamlink.nl/geo/district/buurt-w/143,Portugeesch Israëlitisch Meisjes weeshuis,Kom
126,Buurt W,https://adamlink.nl/geo/district/buurt-w/143,"Nederd. Israël. Oude Mannen-, Vrouwen- en Ziekenhuis",Kom
127,Buurt W,https://adamlink.nl/geo/district/buurt-w/143,Ned. Israël. Gesticht voor Krankzinnigen,Kom
128,Buurt W,https://adamlink.nl/geo/district/buurt-w/143,Farnades Nuneshuis,Kom
129,Buurt W,https://adamlink.nl/geo/district/buurt-w/143,Brandweer-kazerne,Kom
130,Buurt W,https://adamlink.nl/geo/district/buurt-w/143,Inrigting voor ooglijders,Kom
131,Buurt W,https://adamlink.nl/geo/district/buurt-w/143,Kinderziekenhuis,Kom
132,Buurt W,https://adamlink.nl/geo/district/buurt-w/143,Rijkshospitaal,Kom
