rij,obs,pop,houseType,residenceStatus,kom,sex,buurtLabel,buurt,nadere_omschrijving1,nadere_omschrijving2
100,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I100-h,294,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt R,https://adamlink.nl/geo/district/buurt-r/146,,Kom
101,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I101-h,227,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt S,https://adamlink.nl/geo/district/buurt-s/145,,Kom
102,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I102-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt T,https://adamlink.nl/geo/district/buurt-t/149,Mariniers-kazerne,Kom
103,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I103-h,980,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt T,https://adamlink.nl/geo/district/buurt-t/149,Overige huizen,Kom
108,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I108-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt U,https://adamlink.nl/geo/district/buurt-u/148,Kosthuis No. 2 der Maatschappij tot Nut van 't Algemeen,Kom
109,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I109-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt U,https://adamlink.nl/geo/district/buurt-u/148,Zeemanshuis,Kom
110,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I110-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt U,https://adamlink.nl/geo/district/buurt-u/148,Kazerne Oranje-Nassau,Kom
111,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I111-h,619,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt U,https://adamlink.nl/geo/district/buurt-u/148,Overige huizen,Kom
112,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I112-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt V,https://adamlink.nl/geo/district/buurt-v/147,Ned. Israël. Meisjesweeshuis,Kom
113,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I113-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt V,https://adamlink.nl/geo/district/buurt-v/147,Port. Israël. Zieken- en Oude vrouwenhuis,Kom
114,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I114-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt V,https://adamlink.nl/geo/district/buurt-v/147,R. C. Oude mannen- en vrouwenhuis. St. Jacob,Kom
115,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I115-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt V,https://adamlink.nl/geo/district/buurt-v/147,Cavallerie-Kazerne,Kom
116,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I116-h,528,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt V,https://adamlink.nl/geo/district/buurt-v/147,Overige huizen,Kom
117,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I117-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt W,https://adamlink.nl/geo/district/buurt-w/143,Corvershof,Kom
118,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I118-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt W,https://adamlink.nl/geo/district/buurt-w/143,Bestedelinghuis,Kom
119,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I119-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt W,https://adamlink.nl/geo/district/buurt-w/143,Evangelisch Luthersch weeshuis,Kom
120,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I120-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt W,https://adamlink.nl/geo/district/buurt-w/143,Armenhuis,Kom
121,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I121-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt W,https://adamlink.nl/geo/district/buurt-w/143,"Straalman-stichting, genaamd ""Magdalena Hodson""",Kom
122,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I122-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt W,https://adamlink.nl/geo/district/buurt-w/143,Brands Rusthofje,Kom
123,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I123-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt W,https://adamlink.nl/geo/district/buurt-w/143,Gebouw van Barmhartigheid,Kom
124,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I124-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt W,https://adamlink.nl/geo/district/buurt-w/143,Oude Vrouwen- en Mannenhuis der hervormde gemeente,Kom
125,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I125-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt W,https://adamlink.nl/geo/district/buurt-w/143,Portugeesch Israëlitisch Meisjes weeshuis,Kom
126,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I126-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt W,https://adamlink.nl/geo/district/buurt-w/143,"Nederd. Israël. Oude Mannen-, Vrouwen- en Ziekenhuis",Kom
127,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I127-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt W,https://adamlink.nl/geo/district/buurt-w/143,Ned. Israël. Gesticht voor Krankzinnigen,Kom
128,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I128-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt W,https://adamlink.nl/geo/district/buurt-w/143,Farnades Nuneshuis,Kom
129,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I129-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt W,https://adamlink.nl/geo/district/buurt-w/143,Brandweer-kazerne,Kom
130,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I130-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt W,https://adamlink.nl/geo/district/buurt-w/143,Inrigting voor ooglijders,Kom
131,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I131-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt W,https://adamlink.nl/geo/district/buurt-w/143,Kinderziekenhuis,Kom
132,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I132-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt W,https://adamlink.nl/geo/district/buurt-w/143,Rijkshospitaal,Kom
133,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I133-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt W,https://adamlink.nl/geo/district/buurt-w/143,Centraal Magazijn van militaire kleeding,Kom
134,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I134-h,787,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt W,https://adamlink.nl/geo/district/buurt-w/143,Overige huizen,Kom
135,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I135-h,638,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt X,https://adamlink.nl/geo/district/buurt-x/127,,Kom
