rij,ligging,buurtLabel,buurt,overig,beschrijving,
70,,A,https://adamlink.nl/geo/district/buurt-a/134,,,
71,,B,https://adamlink.nl/geo/district/buurt-b/136,,Binnengasthuis,
72,,,https://adamlink.nl/geo/district/buurt-b/136,,St.-Bernardusgesticht,
73,,,https://adamlink.nl/geo/district/buurt-b/136,,Overige huizen,
74,,C,https://adamlink.nl/geo/district/buurt-c/141,,,
75,,D,https://adamlink.nl/geo/district/buurt-d/131,,R. C. Maagdenhuis,
76,,,https://adamlink.nl/geo/district/buurt-d/131,,Huis van arrest,
77,,,https://adamlink.nl/geo/district/buurt-d/131,,Overige huizen,
78,,E,https://adamlink.nl/geo/district/buurt-e/130,,Burgerweeshuis,
79,,,https://adamlink.nl/geo/district/buurt-e/130,,Overige huizen,
80,,F,https://adamlink.nl/geo/district/buurt-f/121,,,
81,,G,https://adamlink.nl/geo/district/buurt-g/120,,,
82,,H,https://adamlink.nl/geo/district/buurt-h/129,,,
83,,I,https://adamlink.nl/geo/district/buurt-j/133,,,
84,,K,https://adamlink.nl/geo/district/buurt-k/135,,Brandweerkarzerne,
85,,,https://adamlink.nl/geo/district/buurt-k/135,,Overige huizen,
86,Kom,L,https://adamlink.nl/geo/district/buurt-l/119,,,
87,BK,,https://adamlink.nl/geo/district/buurt-l/119,,,
88,Kom,M,https://adamlink.nl/geo/district/buurt-m/132,,Gesticht Vredenburg,
89,,,https://adamlink.nl/geo/district/buurt-m/132,,Overige huizen,
90,,N,https://adamlink.nl/geo/district/buurt-n/139,,,
91,,O,https://adamlink.nl/geo/district/buurt-o/140,,,
92,,P,https://adamlink.nl/geo/district/buurt-p/142,,Port. Isr. Oudemannenhuis,
93,,,https://adamlink.nl/geo/district/buurt-p/142,,Rijksarsenaal,
94,,,https://adamlink.nl/geo/district/buurt-p/142,,Diaconieweeshuis,
95,,,https://adamlink.nl/geo/district/buurt-p/142,,Ned. Isr. Jongensweeshuis,
96,,,https://adamlink.nl/geo/district/buurt-p/142,,Overige huizen,
97,,Q,https://adamlink.nl/geo/district/buurt-q/144,,Port. Isr. Jongensweeshuis,
98,,,https://adamlink.nl/geo/district/buurt-q/144,,Overige huizen,
99,,R,https://adamlink.nl/geo/district/buurt-r/146,,Mariaschool,
100,,,https://adamlink.nl/geo/district/buurt-r/146,,Overige huizen,
101,,S,https://adamlink.nl/geo/district/buurt-s/145,,,
102,,T,https://adamlink.nl/geo/district/buurt-t/149,,Marinierskarzerne,
103,,,https://adamlink.nl/geo/district/buurt-t/149,,Overige huizen,
104,,U,https://adamlink.nl/geo/district/buurt-u/148,,Kweekschool voor Zeevaart,
105,,,https://adamlink.nl/geo/district/buurt-u/148,,Zeemanshuis,
106,,,https://adamlink.nl/geo/district/buurt-u/148,,Kazerne Oranje - Nassau,
107,,,https://adamlink.nl/geo/district/buurt-u/148,,Matrozen-Instituut,
108,,,https://adamlink.nl/geo/district/buurt-u/148,,"Schip ""Vulcaan""",
109,,,https://adamlink.nl/geo/district/buurt-u/148,,"Schip ""Cerberus""",
110,,,https://adamlink.nl/geo/district/buurt-u/148,,"Schip ""Prins Maurits""",
111,,,https://adamlink.nl/geo/district/buurt-u/148,,"Schip ""Admiraal van Wassenaar""",
112,,,https://adamlink.nl/geo/district/buurt-u/148,,Kosthuis der Mij. tot Nut van 't Algemeen,
113,,,https://adamlink.nl/geo/district/buurt-u/148,,Kazerne Leger des Heils,
114,,,https://adamlink.nl/geo/district/buurt-u/148,,Overige huizen,
115,,V,https://adamlink.nl/geo/district/buurt-v/147,,Port. Israël. Oudemannen-en Vrouwenh.,
116,,,https://adamlink.nl/geo/district/buurt-v/147,,Doetinchemsche Stichting,
117,,,https://adamlink.nl/geo/district/buurt-v/147,,Ned. Israël. Meisjesweeshuis,
118,,,https://adamlink.nl/geo/district/buurt-v/147,,Port. Israël. Zieken- en Oudevrouwenhuis,
119,,,https://adamlink.nl/geo/district/buurt-v/147,,Kweekschool voor Machinisten,
120,,,https://adamlink.nl/geo/district/buurt-v/147,,R. C. Oudemannen- en Vrouwenh. St. Jacob,
121,,,https://adamlink.nl/geo/district/buurt-v/147,,Cavalerie-kazerne,
122,,,https://adamlink.nl/geo/district/buurt-v/147,,Overige huizen,
123,,W,https://adamlink.nl/geo/district/buurt-w/143,,Corvershof,
124,,,https://adamlink.nl/geo/district/buurt-w/143,,Bestedelingenhuis der Ned. Herv. Gem.,
125,,,https://adamlink.nl/geo/district/buurt-w/143,,Ev. Luth. Oudemannen - en Vrouwenhuis,
126,,,https://adamlink.nl/geo/district/buurt-w/143,,Stedelijke Armenhuis,
127,,,https://adamlink.nl/geo/district/buurt-w/143,,Magdalena Hodsonstichting,
128,,,https://adamlink.nl/geo/district/buurt-w/143,,Brands Rus Hofje,
129,,,https://adamlink.nl/geo/district/buurt-w/143,,Gesticht van Barmhartigheid,
130,,,https://adamlink.nl/geo/district/buurt-w/143,,Ned. Israël. Krankzinnigengesticht,
131,,,https://adamlink.nl/geo/district/buurt-w/143,,Port. Israël. Meisjesweeshuis,
132,,,https://adamlink.nl/geo/district/buurt-w/143,,Oudevrouwen- en Mannenhuis der Ned. Herv. Diaconie,
133,,,https://adamlink.nl/geo/district/buurt-w/143,,Ned. Israël. Oudemannen-, Vrouwen- en Ziekenhuis
134,,,https://adamlink.nl/geo/district/buurt-w/143,,Fernandes Nuneshuis,
135,,,https://adamlink.nl/geo/district/buurt-w/143,,Gesticht voor Ooglijders,
136,,,https://adamlink.nl/geo/district/buurt-w/143,,Kinderziekenhuis,
137,,,https://adamlink.nl/geo/district/buurt-w/143,,Rijks-Hospitaal,
138,,,https://adamlink.nl/geo/district/buurt-w/143,,Rijks-Centraal-Kleedingmagazijn,
139,,,https://adamlink.nl/geo/district/buurt-w/143,,Rijksmagazijn van Geneesmiddelen,
140,,,https://adamlink.nl/geo/district/buurt-w/143,,Overige huizen,
141,,X,https://adamlink.nl/geo/district/buurt-x/127,,,
142,,Y,https://adamlink.nl/geo/district/buurt-y/137,,Swigtershofje,
143,,,https://adamlink.nl/geo/district/buurt-y/137,,Het Falekhuis,
144,,,https://adamlink.nl/geo/district/buurt-y/137,,"R. C. Gesticht Brentano's ""Steun des ouderdoms""",
145,,,https://adamlink.nl/geo/district/buurt-y/137,,Overige huizen,
146,,Z,https://adamlink.nl/geo/district/buurt-z/138,,Evang. Luth. Weeshuis,
147,,,https://adamlink.nl/geo/district/buurt-z/138,,Overige huizen,
148,,AA,https://adamlink.nl/geo/district/buurt-aa/128,,Hilmanshofje,
149,,,https://adamlink.nl/geo/district/buurt-aa/128,,Looijershofje,
150,,,https://adamlink.nl/geo/district/buurt-aa/128,,Overige huizen,
151,,BB,https://adamlink.nl/geo/district/buurt-bb/126,,Weeshuis der Waalsche gemeente,
152,,,https://adamlink.nl/geo/district/buurt-bb/126,,Deutzen Hofje,
153,,,https://adamlink.nl/geo/district/buurt-bb/126,,Hodson Dedel Hofje,
154,,,https://adamlink.nl/geo/district/buurt-bb/126,,Grilshofje,
155,,,https://adamlink.nl/geo/district/buurt-bb/126,,"Gesticht ""de Nootenbomen Uitkijk""",
156,,,https://adamlink.nl/geo/district/buurt-bb/126,,Overige huizen,
157,,CC,https://adamlink.nl/geo/district/buurt-cc/125,,Plusgesticht,
158,,,https://adamlink.nl/geo/district/buurt-cc/125,,Ziekenverpleging,
159,,,https://adamlink.nl/geo/district/buurt-cc/125,,Kweekschool voor verloskundigen,
160,,,https://adamlink.nl/geo/district/buurt-cc/125,,Strafgevangenis,
161,,,https://adamlink.nl/geo/district/buurt-cc/125,,Overige huizen,
162,,DD,https://adamlink.nl/geo/district/buurt-dd/111,,Doorgangshuis,
163,,,https://adamlink.nl/geo/district/buurt-dd/111,,Rijperhofje,
164,,,https://adamlink.nl/geo/district/buurt-dd/111,,Overige huizen,
165,,EE,https://adamlink.nl/geo/district/buurt-ee/110,,Rozenhofje,
166,,,https://adamlink.nl/geo/district/buurt-ee/110,,Overige huizen,
167,,FF,https://adamlink.nl/geo/district/buurt-ff/112,,"Gesticht ""Venetia""",
168,,,https://adamlink.nl/geo/district/buurt-ff/112,,"Gesticht ""De Voorzienigheid""",
169,,,https://adamlink.nl/geo/district/buurt-ff/112,,Luth. Diaconie- of Konijnenhofje,
170,,,https://adamlink.nl/geo/district/buurt-ff/112,,R. C. Jongensweeshuis,
171,,,https://adamlink.nl/geo/district/buurt-ff/112,,Overige huizen,
172,,GG,https://adamlink.nl/geo/district/buurt-gg/113,,St. Aloysiusgesticht,
173,,,https://adamlink.nl/geo/district/buurt-gg/113,,Overige huizen,
174,,HH,https://adamlink.nl/geo/district/buurt-hh/114,,Hofje van de Wed. Roosen,
175,,,https://adamlink.nl/geo/district/buurt-hh/114,,Overige huizen,
176,,II,https://adamlink.nl/geo/district/buurt-jj/122,,Inrichting voor Stads-Bestedelingen,
177,,,https://adamlink.nl/geo/district/buurt-jj/122,,Overige huizen,
178,,KK,https://adamlink.nl/geo/district/buurt-kk/115,,"Weeshuis der Doopsgezinden ""De Oranjeappel""",
179,,,https://adamlink.nl/geo/district/buurt-kk/115,,"Hofje ""de Liefde is 't fundament""",
180,,,https://adamlink.nl/geo/district/buurt-kk/115,,Het Nieuwe Suikerhofje,
181,,,https://adamlink.nl/geo/district/buurt-kk/115,,Overige huizen,
182,,LL,https://adamlink.nl/geo/district/buurt-ll/116,,Gesticht van liefdadigsheid,
183,,,https://adamlink.nl/geo/district/buurt-ll/116,,Redemptoristenkerk,
184,,,https://adamlink.nl/geo/district/buurt-ll/116,,Burger-Ziekenhuis,
185,,,https://adamlink.nl/geo/district/buurt-ll/116,,Overige huizen,
186,,MM,https://adamlink.nl/geo/district/buurt-mm/109,,St. Andrieshofje,
187,,,https://adamlink.nl/geo/district/buurt-mm/109,,Wees-, Oudemannen- en Vrouwenhuis der Christ. Geref. Gemeente
188,,,https://adamlink.nl/geo/district/buurt-mm/109,,Hamers- en Brouwershofje,
189,,,https://adamlink.nl/geo/district/buurt-mm/109,,Overige huizen,
190,,NN,https://adamlink.nl/geo/district/buurt-nn/108,,Zwaardvegershofje,
191,,,https://adamlink.nl/geo/district/buurt-nn/108,,Hofje der Zeven Keurvorsten,
192,,,https://adamlink.nl/geo/district/buurt-nn/108,,Anslo's Hofje,
193,,,https://adamlink.nl/geo/district/buurt-nn/108,,Overige huizen,
194,,OO,https://adamlink.nl/geo/district/buurt-oo/107,,Regenboogliefdehofje,
195,,,https://adamlink.nl/geo/district/buurt-oo/107,,Trompettershofje,
196,,,https://adamlink.nl/geo/district/buurt-oo/107,,Van Beekshofje,
197,,,https://adamlink.nl/geo/district/buurt-oo/107,,Overige huizen,
198,,PP,https://adamlink.nl/geo/district/buurt-pp/106,,Suijckerhofje,
199,,,https://adamlink.nl/geo/district/buurt-pp/106,,Huiszitten-Weduwenhof,
200,,,https://adamlink.nl/geo/district/buurt-pp/106,,Overige huizen,
201,,QQ,https://adamlink.nl/geo/district/buurt-qq/101,,Lindenhofje,
202,,,https://adamlink.nl/geo/district/buurt-qq/101,,Rapenhofje,
203,,,https://adamlink.nl/geo/district/buurt-qq/101,,Bosscherhofje,
204,,,https://adamlink.nl/geo/district/buurt-qq/101,,Overige huizen,
205,,RR,https://adamlink.nl/geo/district/buurt-rr/117,,St. Rosagesticht,
206,,,https://adamlink.nl/geo/district/buurt-rr/117,,Kraaminrichting,
207,,,https://adamlink.nl/geo/district/buurt-rr/117,,R. C. Ziekenverpleging,
208,,,https://adamlink.nl/geo/district/buurt-rr/117,,Brandweerkazerne,
209,,,https://adamlink.nl/geo/district/buurt-rr/117,,Vrije Universiteit,
210,,,https://adamlink.nl/geo/district/buurt-rr/117,,Overige huizen,
211,,SS,https://adamlink.nl/geo/district/buurt-ss/118,,Fontaineshofje,
212,,,https://adamlink.nl/geo/district/buurt-ss/118,,Broedersgesticht Orde St. Joh. De Deo,
213,,,https://adamlink.nl/geo/district/buurt-ss/118,,"Van Brienens Hofje ""De Ster""",
214,,,https://adamlink.nl/geo/district/buurt-ss/118,,Zons- of Nieuwe Hofje,
215,,,https://adamlink.nl/geo/district/buurt-ss/118,,Overige huizen,
216,,TT,https://adamlink.nl/geo/district/buurt-tt/105,,Diaconie-Wees-Oudemannen- en Vrouwenhuis der Hersteld Evang. Luth. Gemeente,
217,,,https://adamlink.nl/geo/district/buurt-tt/105,,R. C. Gesticht van Liefdezusters (St. Anthoniusgesticht),
218,,,https://adamlink.nl/geo/district/buurt-tt/105,,Overige huizen,
219,,UU,https://adamlink.nl/geo/district/buurt-uu/102,,Moenshofje,
220,,,https://adamlink.nl/geo/district/buurt-uu/102,,Overige huizen,
221,,VV,https://adamlink.nl/geo/district/buurt-vv/104,,,
222,Kom,WW,https://adamlink.nl/geo/district/buurt-ww/103,,,
223,BK,,https://adamlink.nl/geo/district/buurt-ww/103,Overbraker Buitenpolder,,
224,,,https://adamlink.nl/geo/district/buurt-ww/103,Amsterdammerpolder,,
225,Kom,XX,https://adamlink.nl/geo/district/buurt-xx/123,,Het Ned. Diaconie - Weeshuis,
226,,,https://adamlink.nl/geo/district/buurt-xx/123,,Het Buitengasthuis,
227,,,https://adamlink.nl/geo/district/buurt-xx/123,,Overige huizen,
228,,YY,https://adamlink.nl/geo/district/buurt-yy/124,,St. Vincentiusgesticht,
229,,,https://adamlink.nl/geo/district/buurt-yy/124,,Henriette Hofje,
230,,,https://adamlink.nl/geo/district/buurt-yy/124,,Gesticht voor volwassen Blinden,
231,,,https://adamlink.nl/geo/district/buurt-yy/124,,Instituut tot onderwijs van blinden,
232,,,https://adamlink.nl/geo/district/buurt-yy/124,,Rijks-Museum,
233,,,https://adamlink.nl/geo/district/buurt-yy/124,,Overige huizen,
234,,ZZ,https://adamlink.nl/geo/district/buurt-zz/150,,,
235,,,https://adamlink.nl/geo/district/buurt-zz/150,,Arken en keeten,
236,,,https://adamlink.nl/geo/district/buurt-zz/150,,Schepen,
237,,,https://adamlink.nl/geo/district/buurt-zz/150,,Tijd. aanw. schepen,
