rij,Ligging,BuurtLabel,buurt,Overig,Beschrijving
76,Kom,A,https://adamlink.nl/geo/district/buurt-a/134,Huizen,
77,Kom,B,https://adamlink.nl/geo/district/buurt-b/136,,St. Bernardus Gesticht
78,Kom,B,https://adamlink.nl/geo/district/buurt-b/136,,Binnen-Gasthuis
79,Kom,B,https://adamlink.nl/geo/district/buurt-b/136,Overige huizen,
80,Kom,C,https://adamlink.nl/geo/district/buurt-c/141,,St. Maria School
81,Kom,C,https://adamlink.nl/geo/district/buurt-c/141,Overige huizen,
82,Kom,D,https://adamlink.nl/geo/district/buurt-d/131,,R.K. Maagdenhuis
83,Kom,D,https://adamlink.nl/geo/district/buurt-d/131,Overige huizen,
84,Kom,E,https://adamlink.nl/geo/district/buurt-e/130,,Burger Weeshuis
85,Kom,E,https://adamlink.nl/geo/district/buurt-e/130,Overige huizen,
86,Kom,F,https://adamlink.nl/geo/district/buurt-f/121,Huizen,
87,Kom,G,https://adamlink.nl/geo/district/buurt-g/120,Huizen,
88,Kom,H,https://adamlink.nl/geo/district/buurt-h/129,Huizen,
89,Kom,I,https://adamlink.nl/geo/district/buurt-j/133,Huizen,
90,Kom,K,https://adamlink.nl/geo/district/buurt-k/135,Huizen,
91,Kom,L,https://adamlink.nl/geo/district/buurt-l/119,Huizen,
92,Kom,M,https://adamlink.nl/geo/district/buurt-m/132,,Gest. Vredenburg
93,Kom,M,https://adamlink.nl/geo/district/buurt-m/132,,Toevluchtsoord Bethsam
94,Kom,M,https://adamlink.nl/geo/district/buurt-m/132,Overige huizen,
95,Kom,N,https://adamlink.nl/geo/district/buurt-n/139,Huizen,
96,Kom,O,https://adamlink.nl/geo/district/buurt-o/140,Huizen,
97,Kom,P,https://adamlink.nl/geo/district/buurt-p/142,,Suasso-Stichting
98,Kom,P,https://adamlink.nl/geo/district/buurt-p/142,,Artillerie-magazijnen
99,Kom,P,https://adamlink.nl/geo/district/buurt-p/142,,Port. Isr. Oude Mannenhuis
100,Kom,P,https://adamlink.nl/geo/district/buurt-p/142,,Ned. Isr. Jongensweeshuis
101,Kom,P,https://adamlink.nl/geo/district/buurt-p/142,,Diaconie Weeshuis der Ned. Herv. Gemeente
102,Kom,P,https://adamlink.nl/geo/district/buurt-p/142,Overige huizen,
103,Kom,Q,https://adamlink.nl/geo/district/buurt-q/144,,Port. Isr.Jongensweeshuis
