rij,obs,pop,houseType,residenceStatus,kom,sex
488,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M488-h,287,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
489,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M489-h,6,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
490,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M490-h,17,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
491,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M491-h,2722,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
492,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M492-h,230,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
493,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M493-h,56,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
494,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M494-h,3185,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
495,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M495-h,162,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
496,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M496-h,39,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
497,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M497-h,15,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
498,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M498-h,341,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
499,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M499-h,2605,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
500,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M500-h,91,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
502,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M502-h,2815,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
