rij,BuurtLabel,buurt,Overig,Beschrijving
380,Wijk A. Huizen,https://adamlink.nl/geo/district/A/1248,,
381,Wijk B. Binnengasthuis,https://adamlink.nl/geo/district/B/1332,,Verpl.
382,Wijk B. St. Bernardusgesticht,https://adamlink.nl/geo/district/B/1332,,Verpl.
383,Wijk B. Overige huizen,https://adamlink.nl/geo/district/B/1332,,
384,Wijk C. St. Mariagesticht,https://adamlink.nl/geo/district/C/1354,,Ond.
385,Wijk C. Overige huizen,https://adamlink.nl/geo/district/C/1354,,
386,Wijk D. R.K. Maagdenhuis,https://adamlink.nl/geo/district/D/1312,,Verpl.
387,Wijk D. Overige huizen,https://adamlink.nl/geo/district/D/1312,,
388,Wijk E. Burgerweeshuis,https://adamlink.nl/geo/district/E/1314,,Verpl.
389,Wijk E. Overige huizen,https://adamlink.nl/geo/district/E/1314,,
390,Wijk F. Huizen,https://adamlink.nl/geo/district/F/1269,,
391,Wijk G. Huizen,https://adamlink.nl/geo/district/G/1345,,
392,Wijk H. Huizen,https://adamlink.nl/geo/district/H/1344,,
393,Wijk I. Huizen,https://adamlink.nl/geo/district/J/1328,,
394,Wijk K. Huizen,https://adamlink.nl/geo/district/K/1252,,
395,Wijk. LI. Huizen,https://adamlink.nl/geo/district/L-I/1251,,
396,Wijk. LII. Huizen,https://adamlink.nl/geo/district/L-II/1342,,
397,Wijk. M. Vredenburgerhofje,https://adamlink.nl/geo/district/M/1336,,A.I.
398,Wijk. M. Overige huizen,https://adamlink.nl/geo/district/M/1336,,
399,Wijk N. Huizen,https://adamlink.nl/geo/district/N/1333,,
400,Wijk O. Huizen,https://adamlink.nl/geo/district/O/1284,,
401,Wijk P. Suassostichting,https://adamlink.nl/geo/district/P/1270,,A.I.
402,Wijk P. Port. Isr. Oude mannenhuis,https://adamlink.nl/geo/district/P/1270,,Verpl.
403,Wijk P. Magazijn der Artillerie (Arsenaal),https://adamlink.nl/geo/district/P/1270,,M.I.
404,Wijk P. Ned. Isr. Jongensweeshuis,https://adamlink.nl/geo/district/P/1270,,Verpl.
405,Wijk P. Overige huizen,https://adamlink.nl/geo/district/P/1270,,
406,Wijk Q. Port. Isr. Jongensweeshuis,https://adamlink.nl/geo/district/Q/1340,,Verpl.
407,Wijk Q. Overige huizen,https://adamlink.nl/geo/district/Q/1340,,
408,Wijk R. Huizen,https://adamlink.nl/geo/district/Q/1340,,
409,Wijk S. Huizen,https://adamlink.nl/geo/district/S/1259,,
410,Wijk TI. Marinierskazerne,https://adamlink.nl/geo/district/T-I/1282,,M.I.
411,Wijk TI. Gerardus Majellaschool,https://adamlink.nl/geo/district/T-I/1282,,Ond.
412,Wijk TI. Overige huizen,https://adamlink.nl/geo/district/T-I/1282,,
413,Wijk TII. Militaire Bakkerij,https://adamlink.nl/geo/district/T-II/1347,,M.I.
414,Wijk TII. Overige huizen,https://adamlink.nl/geo/district/T-II/1347,,
415,Wijk TIII. Huizen,https://adamlink.nl/geo/district/T-III/1287,,
416,"Wijk UI. H.M. Torpedo-instructieschip ""Vulkaan""",https://adamlink.nl/geo/district/U-I/1303,,M.I.
417,"Wijk UI. H.M. Wachtschip ""Adm. V. Wassenaar""",https://adamlink.nl/geo/district/U-I/1303,,M.I.
418,"Wijk UI. Opleidingsschip ""De Zeehond""",https://adamlink.nl/geo/district/U-I/1303,,Ond.
419,Wijk UI. Overige huizen,https://adamlink.nl/geo/district/U-I/1303,,
420,Wijk UII. Kweeksch. V. d. Zeevaart,https://adamlink.nl/geo/district/U-II/1291,,Ond.
421,Wijk UII. Overige huizen,https://adamlink.nl/geo/district/U-II/1291,,
423,"Wijk UIII. Kazerne ""OranjeNassau""",https://adamlink.nl/geo/district/U-III/1257,,M.I.
424,Wijk UIII. Overige huizen,https://adamlink.nl/geo/district/U-III/1257,,
425,Wijk VI. Port. Isr. Zieken- en oude vrouwenhuis,https://adamlink.nl/geo/district/V-I/1266,,Verpl.
426,"Wijk VI. Wees-, oude mannen- en vrouwenhuis d. Ger. Kerk",https://adamlink.nl/geo/district/V-I/1266,,Verpl.
427,Wijk VI. Bethsan.,https://adamlink.nl/geo/district/V-I/1266,,A.I.
428,Wijk VI. Ned. Isr. Meisjesweeshuis,https://adamlink.nl/geo/district/V-I/1266,,Verpl.
429,Wijk VI. Gesticht van Port. Isr. Gehuwde oude lieden,https://adamlink.nl/geo/district/V-I/1266,,Verpl.
430,Wijk VI. Overige huizen,https://adamlink.nl/geo/district/V-I/1266,,
431,Wijk VII. St. Jacobsgesticht,https://adamlink.nl/geo/district/V-II/1325,,Verpl.
432,Wijk VII. Kweeksch. V. Machinisten,https://adamlink.nl/geo/district/V-II/1325,,Ond.
433,Wijk VII. Cavaleriekazerne,https://adamlink.nl/geo/district/V-II/1325,,M.I.
434,Wijk VII. Overige huizen,https://adamlink.nl/geo/district/V-II/1325,,
435,Wijk WI. Diaconie oude mannen- en vrouwenhuis d. N.H. Gem.,https://adamlink.nl/geo/district/W-I/1265,,Verpl.
436,Wijk WI. Corvershof,https://adamlink.nl/geo/district/W-I/1265,,Verpl.
437,Wijk WI. Bestedelingenhuis der Ned. Herv. Gem.,https://adamlink.nl/geo/district/W-I/1265,,Verpl.
438,wijk WI. V. Lemmikstichting,https://adamlink.nl/geo/district/W-I/1265,,Verpl.
