rij,obs,pop,houseType,residenceStatus,kom,sex,BuurtLabel,buurt,Overig,Beschrijving
488,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M488-h,287,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk C.CII. Overige huizen,https://adamlink.nl/geo/district/CC-II/1249,,
489,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M489-h,6,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk D.DI. Doorgangshuis van de St. Hubertusvereeniging,https://adamlink.nl/geo/district/DD-I/1260,,Verpl.
490,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M490-h,17,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk D.DI. Rijpenhofje,https://adamlink.nl/geo/district/DD-I/1260,,A.I.
491,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M491-h,2722,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk D.DI. Overige huizen,https://adamlink.nl/geo/district/DD-I/1260,,
492,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M492-h,230,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk D.DII. Huizen,https://adamlink.nl/geo/district/DD-II/1298,,
493,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M493-h,56,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk E.EI. Rozenhofje,https://adamlink.nl/geo/district/EE-I/1302,,A.I.
494,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M494-h,3185,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk E.EI. Overige huizen,https://adamlink.nl/geo/district/EE-I/1302,,
495,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M495-h,162,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk E.EII. Huizen,https://adamlink.nl/geo/district/EE-II/1255,,
496,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M496-h,39,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk F.FI. Venetiae,https://adamlink.nl/geo/district/FF-I/1262,,A.I.
497,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M497-h,15,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk F.FI. R.K. jongensweeshuis,https://adamlink.nl/geo/district/FF-I/1262,,Verpl.
