"person","occup","tax","hiscam"
"https://iisg.amsterdam/resource/bdv/203801","https://iisg.amsterdam/hisco/code/hisco/12110","161","99"
"https://iisg.amsterdam/resource/bdv/209351","https://iisg.amsterdam/hisco/code/hisco/12110","194","99"
"https://iisg.amsterdam/resource/bdv/212451","https://iisg.amsterdam/hisco/code/hisco/12110","90","99"
"https://iisg.amsterdam/resource/bdv/216801","https://iisg.amsterdam/hisco/code/hisco/12110","128","99"
"https://iisg.amsterdam/resource/bdv/220851","https://iisg.amsterdam/hisco/code/hisco/12110","201","99"
"https://iisg.amsterdam/resource/bdv/221201","https://iisg.amsterdam/hisco/code/hisco/12110","129","99"
"https://iisg.amsterdam/resource/bdv/221951","https://iisg.amsterdam/hisco/code/hisco/12110","94","99"
"https://iisg.amsterdam/resource/bdv/226301","https://iisg.amsterdam/hisco/code/hisco/12110","0","99"
"https://iisg.amsterdam/resource/bdv/233151","https://iisg.amsterdam/hisco/code/hisco/12110","112","99"
"https://iisg.amsterdam/resource/bdv/234201","https://iisg.amsterdam/hisco/code/hisco/12110","147","99"
"https://iisg.amsterdam/resource/bdv/235201","https://iisg.amsterdam/hisco/code/hisco/12110","208","99"
"https://iisg.amsterdam/resource/bdv/240401","https://iisg.amsterdam/hisco/code/hisco/12110","95","99"
"https://iisg.amsterdam/resource/bdv/243201","https://iisg.amsterdam/hisco/code/hisco/12110","381","99"
"https://iisg.amsterdam/resource/bdv/245801","https://iisg.amsterdam/hisco/code/hisco/12110","115","99"
"https://iisg.amsterdam/resource/bdv/246501","https://iisg.amsterdam/hisco/code/hisco/12110","199","99"
"https://iisg.amsterdam/resource/bdv/249901","https://iisg.amsterdam/hisco/code/hisco/12110","242","99"
"https://iisg.amsterdam/resource/bdv/201151","https://iisg.amsterdam/hisco/code/hisco/12210","210","99"
"https://iisg.amsterdam/resource/bdv/213001","https://iisg.amsterdam/hisco/code/hisco/12210","124","99"
"https://iisg.amsterdam/resource/bdv/227351","https://iisg.amsterdam/hisco/code/hisco/12210","528","99"
"https://iisg.amsterdam/resource/bdv/242201","https://iisg.amsterdam/hisco/code/hisco/12210","122","99"
"https://iisg.amsterdam/resource/bdv/248301","https://iisg.amsterdam/hisco/code/hisco/12210","214","99"
"https://iisg.amsterdam/resource/bdv/207651","https://iisg.amsterdam/hisco/code/hisco/12310","239","99"
"https://iisg.amsterdam/resource/bdv/208001","https://iisg.amsterdam/hisco/code/hisco/12310","249","99"
"https://iisg.amsterdam/resource/bdv/210701","https://iisg.amsterdam/hisco/code/hisco/12310","148","99"
"https://iisg.amsterdam/resource/bdv/211151","https://iisg.amsterdam/hisco/code/hisco/12310","250","99"
"https://iisg.amsterdam/resource/bdv/215251","https://iisg.amsterdam/hisco/code/hisco/12310","130","99"
"https://iisg.amsterdam/resource/bdv/229351","https://iisg.amsterdam/hisco/code/hisco/12310","143","99"
"https://iisg.amsterdam/resource/bdv/231851","https://iisg.amsterdam/hisco/code/hisco/12310","162","99"
"https://iisg.amsterdam/resource/bdv/234151","https://iisg.amsterdam/hisco/code/hisco/12310","389","99"
"https://iisg.amsterdam/resource/bdv/236251","https://iisg.amsterdam/hisco/code/hisco/12310","108","99"
"https://iisg.amsterdam/resource/bdv/236901","https://iisg.amsterdam/hisco/code/hisco/12310","142","99"
"https://iisg.amsterdam/resource/bdv/239201","https://iisg.amsterdam/hisco/code/hisco/12310","140","99"
"https://iisg.amsterdam/resource/bdv/242251","https://iisg.amsterdam/hisco/code/hisco/12310","178","99"
"https://iisg.amsterdam/resource/bdv/201001","https://iisg.amsterdam/hisco/code/hisco/13100","475","96.15"
"https://iisg.amsterdam/resource/bdv/215851","https://iisg.amsterdam/hisco/code/hisco/13100","180","96.15"
"https://iisg.amsterdam/resource/bdv/219101","https://iisg.amsterdam/hisco/code/hisco/13100","374","96.15"
"https://iisg.amsterdam/resource/bdv/222151","https://iisg.amsterdam/hisco/code/hisco/13100","149","96.15"
"https://iisg.amsterdam/resource/bdv/224201","https://iisg.amsterdam/hisco/code/hisco/13100","136","96.15"
"https://iisg.amsterdam/resource/bdv/227051","https://iisg.amsterdam/hisco/code/hisco/13100","166","96.15"
"https://iisg.amsterdam/resource/bdv/232451","https://iisg.amsterdam/hisco/code/hisco/13100","211","96.15"
"https://iisg.amsterdam/resource/bdv/236951","https://iisg.amsterdam/hisco/code/hisco/13100","176","96.15"
"https://iisg.amsterdam/resource/bdv/237801","https://iisg.amsterdam/hisco/code/hisco/13100","209","96.15"
"https://iisg.amsterdam/resource/bdv/241801","https://iisg.amsterdam/hisco/code/hisco/13100","198","96.15"
"https://iisg.amsterdam/resource/bdv/242451","https://iisg.amsterdam/hisco/code/hisco/13100","234","96.15"
"https://iisg.amsterdam/resource/bdv/243701","https://iisg.amsterdam/hisco/code/hisco/13100","193","96.15"
"https://iisg.amsterdam/resource/bdv/227651","https://iisg.amsterdam/hisco/code/hisco/13200","51","89.26"
"https://iisg.amsterdam/resource/bdv/230951","https://iisg.amsterdam/hisco/code/hisco/13200","151","89.26"
"https://iisg.amsterdam/resource/bdv/235951","https://iisg.amsterdam/hisco/code/hisco/13200","62","89.26"
"https://iisg.amsterdam/resource/bdv/208701","https://iisg.amsterdam/hisco/code/hisco/14120","201","99"
"https://iisg.amsterdam/resource/bdv/211051","https://iisg.amsterdam/hisco/code/hisco/14120","158","99"
"https://iisg.amsterdam/resource/bdv/215051","https://iisg.amsterdam/hisco/code/hisco/14120","239","99"
"https://iisg.amsterdam/resource/bdv/217851","https://iisg.amsterdam/hisco/code/hisco/14120","136","99"
"https://iisg.amsterdam/resource/bdv/218501","https://iisg.amsterdam/hisco/code/hisco/14120","29","99"
"https://iisg.amsterdam/resource/bdv/224651","https://iisg.amsterdam/hisco/code/hisco/14120","192","99"
"https://iisg.amsterdam/resource/bdv/227201","https://iisg.amsterdam/hisco/code/hisco/14120","139","99"
"https://iisg.amsterdam/resource/bdv/213901","https://iisg.amsterdam/hisco/code/hisco/17990","57","54.74"
"https://iisg.amsterdam/resource/bdv/230901","https://iisg.amsterdam/hisco/code/hisco/17990","60","54.74"
"https://iisg.amsterdam/resource/bdv/240251","https://iisg.amsterdam/hisco/code/hisco/17990","111","54.74"
"https://iisg.amsterdam/resource/bdv/201251","https://iisg.amsterdam/hisco/code/hisco/21110","178","89.18"
"https://iisg.amsterdam/resource/bdv/201901","https://iisg.amsterdam/hisco/code/hisco/21110","150","89.18"
"https://iisg.amsterdam/resource/bdv/204401","https://iisg.amsterdam/hisco/code/hisco/21110","100","89.18"
"https://iisg.amsterdam/resource/bdv/204651","https://iisg.amsterdam/hisco/code/hisco/21110","217","89.18"
"https://iisg.amsterdam/resource/bdv/204701","https://iisg.amsterdam/hisco/code/hisco/21110","107","89.18"
"https://iisg.amsterdam/resource/bdv/205151","https://iisg.amsterdam/hisco/code/hisco/21110","149","89.18"
"https://iisg.amsterdam/resource/bdv/206651","https://iisg.amsterdam/hisco/code/hisco/21110","942","89.18"
"https://iisg.amsterdam/resource/bdv/206851","https://iisg.amsterdam/hisco/code/hisco/21110","98","89.18"
"https://iisg.amsterdam/resource/bdv/207251","https://iisg.amsterdam/hisco/code/hisco/21110","65","89.18"
"https://iisg.amsterdam/resource/bdv/208551","https://iisg.amsterdam/hisco/code/hisco/21110","48","89.18"
"https://iisg.amsterdam/resource/bdv/209101","https://iisg.amsterdam/hisco/code/hisco/21110","218","89.18"
"https://iisg.amsterdam/resource/bdv/209201","https://iisg.amsterdam/hisco/code/hisco/21110","121","89.18"
"https://iisg.amsterdam/resource/bdv/209801","https://iisg.amsterdam/hisco/code/hisco/21110","216","89.18"
"https://iisg.amsterdam/resource/bdv/209951","https://iisg.amsterdam/hisco/code/hisco/21110","830","89.18"
"https://iisg.amsterdam/resource/bdv/211201","https://iisg.amsterdam/hisco/code/hisco/21110","183","89.18"
"https://iisg.amsterdam/resource/bdv/211551","https://iisg.amsterdam/hisco/code/hisco/21110","39","89.18"
"https://iisg.amsterdam/resource/bdv/211901","https://iisg.amsterdam/hisco/code/hisco/21110","121","89.18"
"https://iisg.amsterdam/resource/bdv/212751","https://iisg.amsterdam/hisco/code/hisco/21110","56","89.18"
"https://iisg.amsterdam/resource/bdv/213651","https://iisg.amsterdam/hisco/code/hisco/21110","116","89.18"
"https://iisg.amsterdam/resource/bdv/213801","https://iisg.amsterdam/hisco/code/hisco/21110","182","89.18"
"https://iisg.amsterdam/resource/bdv/215201","https://iisg.amsterdam/hisco/code/hisco/21110","49","89.18"
"https://iisg.amsterdam/resource/bdv/216901","https://iisg.amsterdam/hisco/code/hisco/21110","115","89.18"
"https://iisg.amsterdam/resource/bdv/219301","https://iisg.amsterdam/hisco/code/hisco/21110","118","89.18"
"https://iisg.amsterdam/resource/bdv/219801","https://iisg.amsterdam/hisco/code/hisco/21110","147","89.18"
"https://iisg.amsterdam/resource/bdv/219901","https://iisg.amsterdam/hisco/code/hisco/21110","206","89.18"
"https://iisg.amsterdam/resource/bdv/220151","https://iisg.amsterdam/hisco/code/hisco/21110","91","89.18"
"https://iisg.amsterdam/resource/bdv/220301","https://iisg.amsterdam/hisco/code/hisco/21110","148","89.18"
"https://iisg.amsterdam/resource/bdv/220351","https://iisg.amsterdam/hisco/code/hisco/21110","47","89.18"
"https://iisg.amsterdam/resource/bdv/220701","https://iisg.amsterdam/hisco/code/hisco/21110","106","89.18"
"https://iisg.amsterdam/resource/bdv/221001","https://iisg.amsterdam/hisco/code/hisco/21110","409","89.18"
"https://iisg.amsterdam/resource/bdv/221051","https://iisg.amsterdam/hisco/code/hisco/21110","68","89.18"
"https://iisg.amsterdam/resource/bdv/221551","https://iisg.amsterdam/hisco/code/hisco/21110","0","89.18"
"https://iisg.amsterdam/resource/bdv/226001","https://iisg.amsterdam/hisco/code/hisco/21110","20","89.18"
"https://iisg.amsterdam/resource/bdv/226551","https://iisg.amsterdam/hisco/code/hisco/21110","61","89.18"
"https://iisg.amsterdam/resource/bdv/227501","https://iisg.amsterdam/hisco/code/hisco/21110","118","89.18"
"https://iisg.amsterdam/resource/bdv/227751","https://iisg.amsterdam/hisco/code/hisco/21110","308","89.18"
